Anio;Mes;Dia;Hora;Monitorizar;Redirigir;Interno;Externo;Externo;Cableada;Wifi
2014;12;07;04;384;24;3508;2918;2918;3865;51
2014;12;07;05;384;4;3437;3482;3482;3823;2
2014;12;07;06;384;5;3444;2576;2576;3818;15
2014;12;07;07;384;6;3448;2663;2663;3820;18
2014;12;07;08;384;21;3688;6759;6759;3862;231
2014;12;07;09;384;85;4449;16317;16317;4151;767
2014;12;07;10;384;139;4350;35081;35081;4192;681
2014;12;07;11;384;199;5143;47362;47362;4829;897
2014;12;07;12;384;281;5265;58687;58687;4967;963
2014;12;07;13;384;268;5021;52105;52105;4758;915
2014;12;07;14;384;166;4974;39249;39249;4434;1090
2014;12;07;15;384;187;5870;43158;43158;5013;1428
2014;12;07;16;384;220;5233;46220;46220;4660;1177
2014;12;07;17;384;309;5661;54870;54870;4585;1769
2014;12;07;18;384;282;7112;55727;55727;4972;2806
2014;12;07;19;384;295;6598;58323;58323;4700;2577
2014;12;07;20;384;208;5162;48972;48972;4459;1295
2014;12;07;21;384;186;6107;40810;40810;4366;2311
2014;12;07;22;384;165;4801;39896;39896;4155;1195
2014;12;07;23;384;134;4896;30476;30476;4198;1216
2014;12;08;00;384;88;4013;23238;23238;4075;410
2014;12;08;01;383;44;4114;12958;12958;3976;565
2014;12;08;02;384;17;3735;6903;6903;3842;294
2014;12;08;03;383;17;3495;6317;6317;3831;64
2014;12;08;04;384;16;3610;4297;4297;3983;27
2014;12;08;05;384;2;3461;4024;4024;3820;27
2014;12;08;06;384;9;3441;3109;3109;3825;9
2014;12;08;07;384;13;3505;4469;4469;3828;74
2014;12;08;08;384;50;3989;10614;10614;4108;315
2014;12;08;09;384;148;5886;29911;29911;5136;1282
2014;12;08;10;384;233;7401;58980;58980;5056;2962
2014;12;08;11;384;336;7348;79650;79650;5386;2682
2014;12;08;12;384;334;7411;86293;86293;4999;3130
2014;12;08;13;384;350;7753;79776;79776;5621;2866
2014;12;08;14;384;303;6819;60524;60524;4854;2652
2014;12;08;15;384;339;8688;75070;75070;4754;4657
2014;12;08;16;384;370;10265;85795;85795;5777;5242
2014;12;08;17;384;433;11287;95816;95816;6805;5299
2014;12;08;18;384;485;9845;95022;95022;5809;4905
2014;12;08;19;384;470;9041;93312;93312;5441;4454
2014;12;08;20;384;382;6955;93032;93032;4570;3151
2014;12;08;21;384;367;6586;79272;79272;4734;2603
2014;12;08;22;384;326;6021;74247;74247;4935;1796
2014;12;08;23;384;219;5595;52769;52769;4376;1822
2014;12;09;00;384;124;4747;36866;36866;4095;1160
2014;12;09;01;384;72;4503;16343;16343;4028;931
2014;12;09;02;383;26;3719;9356;9356;3844;284
2014;12;09;03;384;16;3520;8103;8103;3831;89
2014;12;09;04;384;25;3505;5640;5640;3864;50
2014;12;09;05;383;9;3495;5745;5745;3839;48
2014;12;09;06;384;30;3624;7770;7770;4037;1
2014;12;09;07;384;66;6813;14976;14976;5443;1820
2014;12;09;08;384;273;52540;32014;32014;25858;27339
2014;12;09;09;384;504;80606;50619;50619;37081;44413
2014;12;09;10;383;643;93454;64391;64391;45255;49225
2014;12;09;11;382;720;103313;71766;71766;47231;57184
2014;12;09;12;384;613;79137;75791;75791;41395;38739
2014;12;09;13;384;466;54657;68137;68137;33321;22186
2014;12;09;14;382;427;47308;65729;65729;31432;16685
2014;12;09;15;384;583;61552;82875;82875;32808;29711
2014;12;09;16;383;654;68884;97626;97626;34378;35543
2014;12;09;17;384;655;67739;100701;100701;37315;31463
2014;12;09;18;384;738;49135;111877;111877;23839;26418
2014;12;09;19;384;675;36321;120456;120456;17639;19741
2014;12;09;20;384;511;16038;102371;102371;9486;7447
2014;12;09;21;384;457;8920;100673;100673;5755;4006
2014;12;09;22;381;407;7460;90545;90545;4867;3381
2014;12;09;23;384;304;6411;72322;72322;4475;2624
2014;12;10;00;384;192;5182;39550;39550;4402;1356
2014;12;10;01;364;72;4448;20693;20693;4004;880
2014;12;10;02;366;29;3645;9259;9259;3796;244
2014;12;10;03;384;13;3467;7576;7576;3827;37
2014;12;10;04;384;17;3569;5043;5043;3857;113
2014;12;10;05;384;15;3435;5030;5030;3834;0
2014;12;10;06;384;19;3621;6791;6791;3878;146
2014;12;10;07;384;77;6495;15865;15865;4954;2002
2014;12;10;08;384;1762;43965;34717;34717;19908;26203
2014;12;10;09;384;504;72897;45942;45942;33351;40434
2014;12;10;10;384;541;81946;59040;59040;43394;39477
2014;12;10;11;384;623;90309;67617;67617;51118;40198
2014;12;10;12;384;556;81659;63898;63898;45888;36711
2014;12;10;13;384;499;63367;71712;71712;35192;29058
2014;12;10;14;384;341;37232;61216;61216;21459;16498
2014;12;10;15;384;517;49530;71729;71729;25892;24539
2014;12;10;16;384;638;56267;91695;91695;23820;33469
2014;12;10;17;382;659;52632;96030;96030;21604;32069
2014;12;10;18;384;593;48877;99813;99813;21238;28616
2014;12;10;19;384;526;38182;100447;100447;19783;19309
2014;12;10;20;384;423;16701;98139;98139;8775;8733
2014;12;10;21;384;426;9377;91491;91491;6288;3899
2014;12;10;22;384;418;9069;87169;87169;5511;4360
2014;12;10;23;378;318;8078;67530;67530;5662;3112
2014;12;11;00;383;147;6184;32264;32264;4747;1967
