Anio;Mes;Dia;Hora;Monitorizar;Redirigir;Interno;Externo;Externo;Cableada;Wifi
2014;09;04;21;384;270;4544;25464;25464;4528;670
2014;09;04;22;384;275;5123;23826;23826;4417;1365
2014;09;04;23;384;219;4919;21264;21264;4915;607
2014;09;05;00;384;137;3790;16318;16318;4089;222
2014;09;05;01;384;128;4117;11936;11936;4313;316
2014;09;05;02;384;46;3664;7695;7695;3860;234
2014;09;05;03;384;20;3548;5589;5589;3836;116
2014;09;05;04;384;20;3536;4909;4909;3865;75
2014;09;05;05;384;29;3447;4233;4233;3860;0
2014;09;05;06;384;26;4223;4150;4150;3935;698
2014;09;05;07;384;81;5404;6668;6668;4497;1372
2014;09;05;08;384;196;8879;12361;12361;7307;2152
2014;09;05;09;384;397;19802;23502;23502;16911;3672
2014;09;05;10;384;547;23896;31702;31702;21119;3708
2014;09;05;11;384;626;28252;37388;37388;24727;4535
2014;09;05;12;384;610;27960;33049;33049;24524;4430
2014;09;05;13;384;525;50289;40231;40231;49078;2120
2014;09;05;14;384;427;10228;31497;31497;9105;1934
2014;09;05;15;384;388;8704;28335;28335;6841;2635
2014;09;05;16;384;459;8880;31783;31783;6416;3307
2014;09;05;17;384;409;11473;30342;30342;8290;3976
2014;09;05;18;384;393;9781;29210;29210;8805;1753
2014;09;05;19;384;379;6987;29388;29388;6258;1492
2014;09;05;20;384;269;5786;25815;25815;5211;1228
2014;09;05;21;384;227;5110;20380;20380;4687;1034
2014;09;05;22;384;188;4746;18727;18727;4530;788
2014;09;05;23;384;181;4147;16594;16594;4283;429
2014;09;06;00;384;157;4053;13831;13831;4257;337
2014;09;06;01;384;97;3792;9937;9937;4059;214
2014;09;06;02;384;23;3458;4913;4913;3839;26
2014;09;06;03;384;24;3591;4303;4303;3865;134
2014;09;06;04;384;9;3494;2486;2486;3854;33
2014;09;06;05;384;8;3437;2528;2528;3829;0
2014;09;06;06;384;16;3456;2894;2894;3831;25
2014;09;06;07;384;43;3463;4042;4042;3859;31
2014;09;06;08;384;73;3892;5600;5600;3888;461
2014;09;06;09;384;174;5530;13367;13367;4944;1144
2014;09;06;10;384;304;6693;20586;20586;4902;2479
2014;09;06;11;384;362;6248;27573;27573;5353;1641
2014;09;06;12;384;316;5186;22466;22466;4522;1364
2014;09;06;13;384;304;4955;21282;21282;4618;1025
2014;09;06;14;384;239;4476;17087;17087;4329;770
2014;09;06;15;384;249;5472;20514;20514;5049;1056
2014;09;06;16;384;232;5849;19779;19779;4852;1613
