Anio;Mes;Dia;Hora;Monitorizar;Redirigir;Interno;Externo;Externo;Cableada;Wifi
2013;12;16;12;384;411;82494;93347;93347;47358;35931
2013;12;16;13;1308;303;60629;101779;101779;36332;25908
2013;12;16;14;476;278;55938;106660;106660;32528;24164
2013;12;16;15;384;359;66409;113213;113213;31887;35265
2013;12;16;16;384;381;79775;125817;125817;38239;42301
2013;12;16;17;384;349;60947;123508;123508;23434;38246
2013;12;16;18;384;348;50598;130005;130005;20642;30688
2013;12;16;19;384;308;28726;137843;137843;13519;15899
2013;12;16;20;384;276;18313;138979;138979;8605;10368
2013;12;16;21;384;244;9923;120818;120818;4766;5785
2013;12;16;22;384;234;10379;117955;117955;4675;6322
2013;12;16;23;384;202;7300;94914;94914;3767;4119
2013;12;17;00;384;99;5077;50902;50902;3684;1876
2013;12;17;01;384;45;3944;21725;21725;3484;889
2013;12;17;02;384;24;3579;9606;9606;3407;580
2013;12;17;03;380;26;3321;5667;5667;3406;321
2013;12;17;04;384;12;3270;2681;2681;3409;257
2013;12;17;05;384;6;3068;3741;3741;3387;71
2013;12;17;06;384;25;3174;7797;7797;3448;135
2013;12;17;07;384;48;6733;18455;18455;5380;1785
2013;12;17;08;1960;197;46365;40260;40260;22720;25802
2013;12;17;09;2741;293;80226;60047;60047;42192;41068
2013;12;17;10;2764;335;84512;85084;85084;44851;42760
2013;12;17;11;1746;388;92685;98901;98901;52387;42432
2013;12;17;12;384;340;109607;131107;131107;56573;53758
2013;12;17;13;384;312;63204;113448;113448;37092;26808
2013;12;17;14;384;290;44876;110610;110610;25818;19732
2013;12;17;15;384;291;60735;103466;103466;27532;33878
2013;12;17;16;384;353;70751;120407;120407;34738;36750
2013;12;17;17;360;416;74256;125379;125379;36790;38242
2013;12;17;18;379;324;56748;136932;136932;28229;29222
2013;12;17;19;384;286;34073;128398;128398;15888;18855
2013;12;17;20;384;632;16500;130464;130464;7424;10092
2013;12;17;21;384;257;8628;125401;125401;3846;5423
2013;12;17;22;384;331;8959;127602;127602;3935;5739
2013;12;17;23;384;145;5833;90813;90813;3348;3014
2013;12;18;00;384;98;4932;50556;50556;2998;2416
2013;12;18;01;384;61;3271;23621;23621;2806;910
2013;12;18;02;384;29;2529;11047;11047;2854;88
2013;12;18;03;384;10;2522;6502;6502;2764;152
2013;12;18;04;384;6;2409;2559;2559;2704;95
2013;12;18;05;384;15;2339;3617;3617;2677;61
2013;12;18;06;384;28;2594;7844;7844;2803;203
2013;12;18;07;384;69;6880;20642;20642;5374;1959
2013;12;18;08;384;176;45073;47598;47598;25244;20389
2013;12;18;09;384;282;75785;69108;69108;38448;38003
2013;12;18;10;384;339;83705;92684;92684;43619;40809
2013;12;18;11;384;350;78117;102297;102297;42120;36731
2013;12;18;12;398;345;80529;99297;99297;43552;37720
2013;12;18;13;384;258;45129;98162;98162;27105;18666
2013;12;18;14;384;250;37107;95330;95330;23178;14563
2013;12;18;15;384;302;63773;96919;96919;35415;29044
2013;12;18;16;384;306;63321;105830;105830;33627;30384
2013;12;18;17;384;301;58228;107711;107711;31169;27744
2013;12;18;18;384;277;49281;114148;114148;25512;24430
2013;12;18;19;384;282;35262;116950;116950;18669;17259
2013;12;18;20;384;260;15250;116069;116069;7688;8206
2013;12;18;21;384;217;7860;107525;107525;3355;5106
2013;12;18;22;384;210;8279;99941;99941;3546;5327
2013;12;18;23;384;153;6724;81527;81527;3357;3904
2013;12;19;00;384;113;4885;54019;54019;3016;2366
2013;12;19;01;384;54;4287;27026;27026;2771;1954
2013;12;19;02;384;35;2984;13599;13599;2719;684
2013;12;19;03;384;29;2564;5464;5464;2693;284
2013;12;19;04;384;10;2626;3640;3640;2687;333
2013;12;19;05;384;14;2356;3647;3647;2678;76
2013;12;19;06;384;30;2423;6945;6945;2693;144
2013;12;19;07;384;52;6549;19930;19930;4455;2530
2013;12;19;08;384;175;35542;39932;39932;16990;19111
2013;12;19;09;384;237;64928;63115;63115;32385;33164
2013;12;19;10;384;349;73509;83336;83336;41114;33128
2013;12;19;11;384;330;76353;88542;88542;40000;37067
2013;12;19;12;384;355;65670;91712;91712;38374;28035
2013;12;19;13;384;280;49611;98648;98648;32309;17966
2013;12;19;14;1928;243;37212;91936;91936;24110;15273
2013;12;19;15;628;286;44548;99777;99777;22046;23416
2013;12;19;16;384;334;55331;104812;104812;29939;26110
2013;12;19;17;384;297;49576;112331;112331;26217;24040
2013;12;19;18;384;242;44430;113271;113271;23396;21660
2013;12;19;19;384;236;25891;104492;104492;15371;11140
2013;12;19;20;384;203;11189;100629;100629;7401;4375
2013;12;19;21;384;168;7848;90146;90146;4828;3572
2013;12;19;22;384;204;6530;84949;84949;4261;2857
2013;12;19;23;384;147;4480;67746;67746;3696;1315
2013;12;20;00;384;90;4051;44107;44107;3681;844
2013;12;20;01;384;59;3833;21823;21823;3647;629
2013;12;20;02;384;27;3621;10681;10681;3436;596
2013;12;20;03;384;21;3252;6142;6142;3405;252
2013;12;20;04;384;20;3133;5524;5524;3417;120
2013;12;20;05;384;20;3029;5378;5378;3404;29
2013;12;20;06;384;28;3188;6626;6626;3593;7
2013;12;20;07;384;62;5825;15535;15535;4837;1434
2013;12;20;08;384;158;28368;32710;32710;17960;10950
2013;12;20;09;384;219;35833;63644;63644;21275;15161
2013;12;20;10;384;278;51520;89121;89121;31053;21129
2013;12;20;11;384;288;52567;104846;104846;32775;20464
2013;12;20;12;384;291;59192;108189;108189;42631;17236
2013;12;20;13;384;248;33004;99734;99734;24777;8859
2013;12;20;14;384;245;19696;100420;100420;14254;6071
2013;12;20;15;384;226;18204;97620;97620;9906;8908
2013;12;20;16;384;261;25499;105616;105616;15948;10196
2013;12;20;17;384;224;22424;97712;97712;15561;7471
2013;12;20;18;384;212;16486;87307;87307;11813;5269
2013;12;20;19;384;218;10229;92036;92036;7314;3517
2013;12;20;20;384;175;6397;77179;77179;5051;1905
2013;12;20;21;384;130;4939;72533;72533;3952;1501
2013;12;20;22;384;156;5103;68276;68276;4064;1579
2013;12;20;23;384;141;3751;59288;59288;3675;601
2013;12;21;00;384;80;3688;27600;27600;3569;583
2013;12;21;01;384;44;3337;14692;14692;3482;283
2013;12;21;02;384;28;3060;8333;8333;3409;63
2013;12;21;03;384;17;3373;3697;3697;3401;373
2013;12;21;04;384;16;3264;2253;2253;3413;251
2013;12;21;05;384;12;3169;2674;2674;3392;173
2013;12;21;06;384;12;2999;2206;2206;3395;0
2013;12;21;07;384;21;3000;5816;5816;3405;0
2013;12;21;08;384;38;3391;19422;19422;3421;392
2013;12;21;09;384;76;5213;32337;32337;4152;1521
2013;12;21;10;384;127;4961;56364;56364;3743;1729
2013;12;21;11;384;160;4867;80045;80045;4040;1371
2013;12;21;12;384;150;4312;77592;77592;3905;941
2013;12;21;13;384;159;4242;69900;69900;3783;1002
2013;12;21;14;384;134;3415;58839;58839;3652;281
2013;12;21;15;384;133;4361;55363;55363;4177;701
2013;12;21;16;384;131;4593;59461;59461;4170;938
2013;12;21;17;384;139;4782;64118;64118;4017;1288
2013;12;21;18;384;86;4116;53326;53326;3759;827
2013;12;21;19;384;89;4303;48290;48290;4026;750
2013;12;21;20;384;92;4003;43621;43621;3898;581
2013;12;21;21;384;88;3882;38420;38420;3879;475
2013;12;21;22;384;109;3295;32560;32560;3657;131
2013;12;21;23;384;71;3160;31182;31182;3603;12
2013;12;22;00;384;68;3126;20672;20672;3531;47
2013;12;22;01;384;61;3000;13446;13446;3337;108
2013;12;22;02;384;31;3049;6948;6948;3415;49
2013;12;22;03;384;25;2999;4621;4621;3408;0
2013;12;22;04;384;15;3202;1462;1462;3413;188
2013;12;22;05;384;15;2999;2010;2010;3398;0
2013;12;22;06;384;22;3000;3241;3241;3406;0
2013;12;22;07;384;19;2999;2540;2540;3402;0
2013;12;22;08;384;29;3351;15314;15314;3508;256
2013;12;22;09;384;83;3600;32931;32931;3621;446
2013;12;22;10;384;89;3706;53548;53548;3668;511
2013;12;22;11;384;123;3943;66381;66381;3934;516
2013;12;22;12;384;173;3636;81176;81176;3979;214
2013;12;22;13;384;173;4077;73332;73332;4141;493
2013;12;22;14;384;132;4327;61973;61973;4267;576
2013;12;22;15;384;114;4614;59257;59257;3997;1115
2013;12;22;16;384;137;4715;73286;73286;4126;1110
2013;12;22;17;384;146;5230;72488;72488;4148;1612
2013;12;22;18;384;132;4628;77259;77259;4139;1005
2013;12;22;19;384;174;4959;73775;73775;3868;1649
2013;12;22;20;384;141;3865;66545;66545;3731;659
2013;12;22;21;384;140;4015;70841;70841;3839;700
2013;12;22;22;384;123;3883;64989;64989;3881;509
2013;12;22;23;384;93;4406;55388;55388;3903;980
2013;12;23;00;384;80;3331;36944;36944;3571;224
2013;12;23;01;384;47;3068;17288;17288;3484;15
2013;12;23;02;384;27;3021;8967;8967;3411;21
2013;12;23;03;384;27;3027;4537;4537;3408;30
2013;12;23;04;384;23;3014;2757;2757;3421;0
2013;12;23;05;384;22;3296;3063;3063;3405;297
