Anio;Mes;Dia;Hora;Monitorizar;Redirigir;Interno;Externo;Externo;Cableada;Wifi
2014;11;05;04;384;12;3489;3705;3705;3861;24
2014;11;05;05;384;11;3518;3661;3661;3861;52
2014;11;05;06;384;24;3846;7585;7585;4062;192
2014;11;05;07;384;65;6579;20914;20914;4902;2126
2014;11;05;08;384;340;55659;34512;34512;26959;29424
2014;11;05;09;384;607;106913;57751;57751;58957;48947
2014;11;05;10;384;625;105279;70975;70975;53455;52833
2014;11;05;11;384;634;93332;85314;85314;46544;47806
2014;11;05;12;384;683;100132;77335;77335;58427;42772
2014;11;05;13;384;522;66132;74270;74270;42104;24934
2014;11;05;14;384;434;41815;68922;68922;26520;16113
2014;11;05;15;384;555;62005;85461;85461;31535;31409
2014;11;05;16;384;622;64161;105667;105667;34399;30768
2014;11;05;17;384;620;58505;112751;112751;28944;30565
2014;11;05;18;384;566;44717;115088;115088;22370;23297
2014;11;05;19;384;498;32369;109197;109197;17590;15661
2014;11;05;20;384;496;15013;108006;108006;8728;7165
2014;11;05;21;384;426;8057;104265;104265;5145;3722
2014;11;05;22;383;491;10862;132779;132779;4935;6801
2014;11;05;23;384;296;7234;69015;69015;4628;3286
2014;11;06;00;384;150;5579;33479;33479;4125;1988
2014;11;06;01;384;36;4348;14016;14016;3968;800
2014;11;06;02;383;21;3773;8301;8301;3845;332
2014;11;06;03;384;12;3581;5014;5014;3828;149
2014;11;06;04;384;7;3496;3709;3709;3847;40
2014;11;06;05;384;9;3577;3007;3007;3900;70
2014;11;06;06;384;23;3554;8268;8268;3935;26
2014;11;06;07;384;63;7122;15475;15475;5421;2148
2014;11;06;08;384;353;63181;35609;35609;32671;31247
2014;11;06;09;384;465;94898;62075;62075;46594;49153
2014;11;06;10;384;593;134797;85136;85136;69911;65863
2014;11;06;11;384;615;117189;83008;83008;68649;49539
2014;11;06;12;384;539;98125;80629;80629;62796;36252
2014;11;06;13;384;477;69255;73720;73720;44480;25636
2014;11;06;14;384;367;50828;69014;69014;28263;23316
2014;11;06;15;384;465;67252;83752;83752;33414;34687
2014;11;06;16;384;520;59756;89270;89270;29614;31046
2014;11;06;17;384;547;61563;106432;106432;32901;29593
2014;11;06;18;384;558;57859;115186;115186;31481;27320
2014;11;06;19;384;412;34723;104846;104846;17373;18146
2014;11;06;20;384;393;12396;106310;106310;7515;5658
2014;11;06;21;384;328;6782;93150;93150;5014;2480
2014;11;06;22;380;249;5848;81139;81139;4509;1968
2014;11;06;23;384;217;6208;64980;64980;4573;2236
2014;11;07;00;384;108;4943;28992;28992;4092;1343
2014;11;07;01;384;41;4575;13690;13690;3989;1011
2014;11;07;02;384;25;3450;8419;8419;3846;13
2014;11;07;03;384;16;3576;6045;6045;3829;147
2014;11;07;04;383;3;3439;3114;3114;3825;0
2014;11;07;05;384;8;3453;4062;4062;3845;0
2014;11;07;06;384;16;3654;6624;6624;3885;169
2014;11;07;07;384;93;6835;15467;15467;5844;1468
2014;11;07;08;384;278;37791;30272;30272;24993;13460
2014;11;07;09;384;517;55026;51446;51446;33541;22386
2014;11;07;10;384;535;67269;67991;67991;42456;25732
2014;11;07;11;384;564;81260;77061;77061;46477;35731
2014;11;07;12;384;501;67456;76993;76993;44009;24332
2014;11;07;13;384;368;48100;69223;69223;35160;13692
2014;11;07;14;384;343;29889;60878;60878;20502;10114
2014;11;07;15;384;348;40472;75261;75261;21035;20169
2014;11;07;16;384;361;43964;74645;74645;22185;22524
2014;11;07;17;384;354;33554;75880;75880;20719;13573
2014;11;07;18;384;328;23905;71174;71174;15971;8646
2014;11;07;19;384;245;14480;61543;61543;10072;5037
